Study,Group,Drug,Control,MID,V0,V,duration,V/V0,V/V0_sm,V/V0_cen,C0,V/C0,V/C0_sm,V/C0_cen,lg_V/C0,lg_V/C0_sm,lg_V/C0_cen,log_V/V0,log_V/V0_sm,log_V/V0_cen
TM01278,Group 3 IV Cisplatin,Cisplatin,0.0,278_15,148.88,467.69,29.0,3.1413890381515315,8.180319632370638,-5.0389305942191065,137.55700000000002,3.399972375088145,7.725603997549444,-4.3256316224613,1.223767306615033,1.9591869877959427,-0.7354196811809097,1.6514026213268096,2.8778449818042344,-1.2264423604774248
TM01278,Group 3 IV Cisplatin,Cisplatin,0.0,278_26,133.17,444.9,29.0,3.3408425321018247,8.180319632370638,-4.839477100268814,137.55700000000002,3.2342956010962722,7.725603997549444,-4.491308396453173,1.1738111611510524,1.9591869877959427,-0.7853758266448903,1.7402119840168995,2.8778449818042344,-1.137632997787335
TM01278,Group 3 IV Cisplatin,Cisplatin,0.0,278_37,181.89,1578.95,29.0,8.680796085546211,8.180319632370638,0.5004764531755725,137.55700000000002,11.478514361319307,7.725603997549444,3.752910363769863,2.4404769714821866,1.9591869877959427,0.48128998368624387,3.1178273532694285,2.8778449818042344,0.23998237146519408
TM01278,Group 3 IV Cisplatin,Cisplatin,0.0,278_38,147.41,1168.58,29.0,7.92741333695136,8.180319632370638,-0.25290629541927867,137.55700000000002,8.495241972418706,7.725603997549444,0.7696379748692612,2.1395062388169603,1.9591869877959427,0.18031925102101765,2.9868502007701228,2.8778449818042344,0.10900521896588833
TM01278,Group 3 IV Cisplatin,Cisplatin,0.0,278_40,210.29,1332.8,29.0,6.337914308811641,8.180319632370638,-1.8424053235589977,137.55700000000002,9.689074347361457,7.725603997549444,1.9634703498120123,2.2709988947516346,1.9591869877959427,0.31181190695569194,2.6640081540262006,2.8778449818042344,-0.2138368277780338
TM01278,Group 3 IV Cisplatin,Cisplatin,0.0,278_43,115.04,1249.81,29.0,10.864134214186368,8.180319632370638,2.6838145818157297,137.55700000000002,9.085760811881618,7.725603997549444,1.360156814332174,2.2067084420822325,1.9591869877959427,0.2475214542862898,3.4415013025709587,2.8778449818042344,0.5636563207667242
TM01278,Group 3 IV Cisplatin,Cisplatin,0.0,278_46,81.76,961.16,29.0,11.755870841487278,8.180319632370638,3.5755512091166395,137.55700000000002,6.987357967969641,7.725603997549444,-0.7382460295798037,1.9441025116871007,1.9591869877959427,-0.015084476108842004,3.555309508583546,2.8778449818042344,0.6774645267793118
TM01278,Group 3 IV Cisplatin,Cisplatin,0.0,278_49,98.09,1514.65,29.0,15.441431338566623,8.180319632370638,7.261111706195985,137.55700000000002,11.011071773882826,7.725603997549444,3.2854677763333813,2.3989012914902683,1.9591869877959427,0.4397143036943256,3.948734583849727,2.8778449818042344,1.0708896020454928
TM01278,Group 3 IV Cisplatin,Cisplatin,0.0,278_53,213.09,1242.34,29.0,5.8301187291754655,8.180319632370638,-2.350200903195173,137.55700000000002,9.03145605094615,7.725603997549444,1.3058520533967064,2.2007136003821177,1.9591869877959427,0.24152661258617503,2.543525263914365,2.8778449818042344,-0.3343197178898696
TM01278,Group 3 IV Cisplatin,Cisplatin,0.0,278_57,93.75,569.16,29.0,6.07104,8.180319632370638,-2.1092796323706384,137.55700000000002,4.137630218745683,7.725603997549444,-3.587973778803762,1.420123213016547,1.9591869877959427,-0.5390637747793956,2.6019436786427153,2.8778449818042344,-0.2759013031615192
