Study,Group,Drug,Control,MID,Day,Size
J000100672,3,Cisplatin,0.0,396-11,0.0,212.49
J000100672,3,Cisplatin,0.0,396-11,3.0,322.6
J000100672,3,Cisplatin,0.0,396-11,6.0,368.0
J000100672,3,Cisplatin,0.0,396-11,10.0,538.42
J000100672,3,Cisplatin,0.0,396-11,13.0,743.13
J000100672,3,Cisplatin,0.0,396-11,17.0,948.41
J000100672,3,Cisplatin,0.0,396-11,20.0,1050.49
J000100672,3,Cisplatin,0.0,396-11,24.0,1174.16
J000100672,3,Cisplatin,0.0,396-11,27.0,1275.52
J000100672,3,Cisplatin,0.0,396-20,0.0,180.48
J000100672,3,Cisplatin,0.0,396-20,3.0,200.32
J000100672,3,Cisplatin,0.0,396-20,6.0,255.48
J000100672,3,Cisplatin,0.0,396-20,10.0,375.71
J000100672,3,Cisplatin,0.0,396-20,13.0,477.71
J000100672,3,Cisplatin,0.0,396-20,17.0,596.23
J000100672,3,Cisplatin,0.0,396-20,20.0,827.8
J000100672,3,Cisplatin,0.0,396-20,24.0,983.64
J000100672,3,Cisplatin,0.0,396-20,27.0,1115.51
J000100672,3,Cisplatin,0.0,396-21,0.0,76.94
J000100672,3,Cisplatin,0.0,396-21,3.0,171.18
J000100672,3,Cisplatin,0.0,396-21,6.0,228.28
J000100672,3,Cisplatin,0.0,396-21,10.0,334.51
J000100672,3,Cisplatin,0.0,396-21,13.0,347.23
J000100672,3,Cisplatin,0.0,396-21,17.0,487.77
J000100672,3,Cisplatin,0.0,396-21,20.0,725.28
J000100672,3,Cisplatin,0.0,396-21,24.0,927.3
J000100672,3,Cisplatin,0.0,396-21,27.0,1056.95
J000100672,3,Cisplatin,0.0,396-31,0.0,151.44
J000100672,3,Cisplatin,0.0,396-31,3.0,198.88
J000100672,3,Cisplatin,0.0,396-31,6.0,279.53
J000100672,3,Cisplatin,0.0,396-31,10.0,314.17
J000100672,3,Cisplatin,0.0,396-31,13.0,485.33
J000100672,3,Cisplatin,0.0,396-31,17.0,655.38
