Study,Group,Drug,Control,MID,start,start_size,end,end_size,duration
J000100672,3,Cisplatin,0.0,396-11,0.0,212.49,27.0,1275.52,27.0
J000100672,3,Cisplatin,0.0,396-20,0.0,180.48,27.0,1115.51,27.0
J000100672,3,Cisplatin,0.0,396-21,0.0,76.94,27.0,1056.95,27.0
J000100672,3,Cisplatin,0.0,396-31,0.0,151.44,27.0,1330.26,27.0
J000100672,3,Cisplatin,0.0,396-32,0.0,127.7,27.0,746.38,27.0
J000100672,3,Cisplatin,0.0,396-40,0.0,89.07,27.0,820.89,27.0
J000100672,3,Cisplatin,0.0,396-48,0.0,116.4,6.0,316.5,6.0
J000100672,3,Cisplatin,0.0,396-62,0.0,148.74,27.0,1151.87,27.0
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-005,0.0,141.61,21.0,33.47,21.0
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-007,0.0,126.15,21.0,30.54,21.0
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-021,0.0,169.33,21.0,30.05,21.0
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-022,0.0,94.29,21.0,7.87,21.0
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-024,0.0,106.78,21.0,24.23,21.0
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-051,0.0,150.7,21.0,12.74,21.0
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-055,0.0,121.01,21.0,4.74,21.0
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_26,-1.0,74.6,25.0,477.0,26.0
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_27,-1.0,127.2,25.0,240.22,26.0
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_32,-1.0,93.28,25.0,359.41,26.0
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_33,-1.0,84.87,25.0,293.32,26.0
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_37,-1.0,215.07,25.0,1131.67,26.0
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_47,-1.0,155.58,25.0,519.25,26.0
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_49,-1.0,186.96,25.0,589.56,26.0
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_62,-1.0,256.26,25.0,865.76,26.0
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_66,-1.0,112.75,25.0,460.86,26.0
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-07,1.0,139.75,27.0,835.01,26.0
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-26,1.0,218.43,27.0,3081.38,26.0
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-29,1.0,171.71,27.0,379.15,26.0
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-32,1.0,160.13,27.0,1710.76,26.0
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-50,1.0,89.71,27.0,449.38,26.0
