Study,Study_ID,Group,Drug,Control,MID,Day,Size
J000100672,42396T_2CAOS,3,Cisplatin,0,396-11,0,212.49
J000100672,42396T_2CAOS,3,Cisplatin,0,396-11,3,322.6
J000100672,42396T_2CAOS,3,Cisplatin,0,396-11,6,368
J000100672,42396T_2CAOS,3,Cisplatin,0,396-11,10,538.42
J000100672,42396T_2CAOS,3,Cisplatin,0,396-11,13,743.13
J000100672,42396T_2CAOS,3,Cisplatin,0,396-11,17,948.41
J000100672,42396T_2CAOS,3,Cisplatin,0,396-11,20,1050.49
J000100672,42396T_2CAOS,3,Cisplatin,0,396-11,24,1174.16
J000100672,42396T_2CAOS,3,Cisplatin,0,396-11,27,1275.52
J000100672,42396T_2CAOS,3,Cisplatin,0,396-20,0,180.48
J000100672,42396T_2CAOS,3,Cisplatin,0,396-20,3,200.32
J000100672,42396T_2CAOS,3,Cisplatin,0,396-20,6,255.48
J000100672,42396T_2CAOS,3,Cisplatin,0,396-20,10,375.71
J000100672,42396T_2CAOS,3,Cisplatin,0,396-20,13,477.71
J000100672,42396T_2CAOS,3,Cisplatin,0,396-20,17,596.23
J000100672,42396T_2CAOS,3,Cisplatin,0,396-20,20,827.8
J000100672,42396T_2CAOS,3,Cisplatin,0,396-20,24,983.64
J000100672,42396T_2CAOS,3,Cisplatin,0,396-20,27,1115.51
J000100672,42396T_2CAOS,3,Cisplatin,0,396-21,0,76.94
J000100672,42396T_2CAOS,3,Cisplatin,0,396-21,3,171.18
J000100672,42396T_2CAOS,3,Cisplatin,0,396-21,6,228.28
J000100672,42396T_2CAOS,3,Cisplatin,0,396-21,10,334.51
J000100672,42396T_2CAOS,3,Cisplatin,0,396-21,13,347.23
J000100672,42396T_2CAOS,3,Cisplatin,0,396-21,17,487.77
J000100672,42396T_2CAOS,3,Cisplatin,0,396-21,20,725.28
J000100672,42396T_2CAOS,3,Cisplatin,0,396-21,24,927.3
J000100672,42396T_2CAOS,3,Cisplatin,0,396-21,27,1056.95
J000100672,42396T_2CAOS,3,Cisplatin,0,396-31,0,151.44
J000100672,42396T_2CAOS,3,Cisplatin,0,396-31,3,198.88
J000100672,42396T_2CAOS,3,Cisplatin,0,396-31,6,279.53
J000100672,42396T_2CAOS,3,Cisplatin,0,396-31,10,314.17
J000100672,42396T_2CAOS,3,Cisplatin,0,396-31,13,485.33
J000100672,42396T_2CAOS,3,Cisplatin,0,396-31,17,655.38
J000100672,42396T_2CAOS,3,Cisplatin,0,396-31,20,818.03
J000100672,42396T_2CAOS,3,Cisplatin,0,396-31,24,965.32
J000100672,42396T_2CAOS,3,Cisplatin,0,396-31,27,1330.26
J000100672,42396T_2CAOS,3,Cisplatin,0,396-32,0,127.7
J000100672,42396T_2CAOS,3,Cisplatin,0,396-32,3,167.74
J000100672,42396T_2CAOS,3,Cisplatin,0,396-32,6,187.83
J000100672,42396T_2CAOS,3,Cisplatin,0,396-32,10,239.91
J000100672,42396T_2CAOS,3,Cisplatin,0,396-32,13,342.92
J000100672,42396T_2CAOS,3,Cisplatin,0,396-32,17,412.76
J000100672,42396T_2CAOS,3,Cisplatin,0,396-32,20,482.68
J000100672,42396T_2CAOS,3,Cisplatin,0,396-32,24,622.4
J000100672,42396T_2CAOS,3,Cisplatin,0,396-32,27,746.38
J000100672,42396T_2CAOS,3,Cisplatin,0,396-40,0,89.07
J000100672,42396T_2CAOS,3,Cisplatin,0,396-40,3,101.34
J000100672,42396T_2CAOS,3,Cisplatin,0,396-40,6,119.31
J000100672,42396T_2CAOS,3,Cisplatin,0,396-40,10,221.08
J000100672,42396T_2CAOS,3,Cisplatin,0,396-40,13,286.85
J000100672,42396T_2CAOS,3,Cisplatin,0,396-40,17,404.36
J000100672,42396T_2CAOS,3,Cisplatin,0,396-40,20,468.71
J000100672,42396T_2CAOS,3,Cisplatin,0,396-40,24,686.01
J000100672,42396T_2CAOS,3,Cisplatin,0,396-40,27,820.89
J000100672,42396T_2CAOS,3,Cisplatin,0,396-48,0,116.4
J000100672,42396T_2CAOS,3,Cisplatin,0,396-48,3,242.48
J000100672,42396T_2CAOS,3,Cisplatin,0,396-48,6,316.5
J000100672,42396T_2CAOS,3,Cisplatin,0,396-62,0,148.74
J000100672,42396T_2CAOS,3,Cisplatin,0,396-62,3,211.72
J000100672,42396T_2CAOS,3,Cisplatin,0,396-62,6,285.77
J000100672,42396T_2CAOS,3,Cisplatin,0,396-62,10,359.92
J000100672,42396T_2CAOS,3,Cisplatin,0,396-62,13,390.75
J000100672,42396T_2CAOS,3,Cisplatin,0,396-62,17,461.39
J000100672,42396T_2CAOS,3,Cisplatin,0,396-62,20,664.72
J000100672,42396T_2CAOS,3,Cisplatin,0,396-62,24,860.28
J000100672,42396T_2CAOS,3,Cisplatin,0,396-62,27,1151.87
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-005,0,141.61
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-005,3,847.93
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-005,6,239.93
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-005,8,252.53
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-005,14,60.84
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-005,17,37.72
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-005,21,33.47
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-007,0,126.15
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-007,3,360.25
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-007,6,258.64
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-007,8,276.77
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-007,14,31.32
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-007,17,26.78
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-007,21,30.54
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-021,0,169.33
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-021,1,169.38
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-021,7,86.31
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-021,10,53.89
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-021,14,22.16
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-021,17,31.41
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-021,21,30.05
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-022,0,94.29
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-022,1,94.96
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-022,7,68.33
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-022,10,25.5
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-022,14,26.89
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-022,17,7.64
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-022,21,7.87
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-024,0,106.78
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-024,3,224.16
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-024,6,92.79
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-024,8,100.78
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-024,14,28.97
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-024,17,21.82
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-024,21,24.23
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-051,0,150.7
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-051,1,141.69
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-051,7,114.44
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-051,10,53.96
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-051,14,38.84
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-051,17,11.83
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-051,21,12.74
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-055,0,121.01
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-055,1,135.43
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-055,7,40.01
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-055,10,30.3
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-055,14,29.48
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-055,17,4.67
TM00090,BR0744T_CARD,Gr 3: Cisplatin,Cisplatin,0,744-055,21,4.74
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_26,-1,74.6
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_26,4,126.7
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_26,7,237.34
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_26,11,268.78
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_26,14,360.05
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_26,18,380.91
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_26,21,291
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_26,25,477
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_27,-1,127.2
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_27,4,189.84
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_27,7,316.87
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_27,11,312.11
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_27,14,259.06
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_27,18,252.01
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_27,21,226.89
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_27,25,240.22
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_32,-1,93.28
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_32,4,143.22
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_32,7,204.13
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_32,11,203.72
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_32,14,187.44
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_32,18,185.39
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_32,21,259.45
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_32,25,359.41
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_33,-1,84.87
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_33,4,100.68
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_33,7,198.78
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_33,11,244.42
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_33,14,278.26
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_33,18,251.18
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_33,21,294.29
TM00096,BR0851_TRD,Group 3 Cisplatin,Cisplatin,0,851_33,25,293.32
