Day,Drug,Other Info,Replicate Number,Sample,Tumor Volume mm3,source_file,excel_sheet
1.0,Navitoclax,,M0,HCI-010,163.9208,43018_2022_337_MOESM7_ESM.xlsx,6d left
4.0,Navitoclax,,M0,HCI-010,158.3743815,43018_2022_337_MOESM7_ESM.xlsx,6d left
8.0,Navitoclax,,M0,HCI-010,197.154048,43018_2022_337_MOESM7_ESM.xlsx,6d left
11.0,Navitoclax,,M0,HCI-010,158.5821765,43018_2022_337_MOESM7_ESM.xlsx,6d left
15.0,Navitoclax,,M0,HCI-010,176.645,43018_2022_337_MOESM7_ESM.xlsx,6d left
18.0,Navitoclax,,M0,HCI-010,175.6199535,43018_2022_337_MOESM7_ESM.xlsx,6d left
22.0,Navitoclax,,M0,HCI-010,230.687446,43018_2022_337_MOESM7_ESM.xlsx,6d left
1.0,Navitoclax,,M1,HCI-010,119.794563,43018_2022_337_MOESM7_ESM.xlsx,6d left
4.0,Navitoclax,,M1,HCI-010,75.689856,43018_2022_337_MOESM7_ESM.xlsx,6d left
8.0,Navitoclax,,M1,HCI-010,121.091274,43018_2022_337_MOESM7_ESM.xlsx,6d left
11.0,Navitoclax,,M1,HCI-010,103.231956,43018_2022_337_MOESM7_ESM.xlsx,6d left
15.0,Navitoclax,,M1,HCI-010,99.947844,43018_2022_337_MOESM7_ESM.xlsx,6d left
18.0,Navitoclax,,M1,HCI-010,125.015022,43018_2022_337_MOESM7_ESM.xlsx,6d left
22.0,Navitoclax,,M1,HCI-010,111.587111,43018_2022_337_MOESM7_ESM.xlsx,6d left
1.0,Navitoclax,,M2,HCI-010,132.0270255,43018_2022_337_MOESM7_ESM.xlsx,6d left
4.0,Navitoclax,,M2,HCI-010,100.601028,43018_2022_337_MOESM7_ESM.xlsx,6d left
8.0,Navitoclax,,M2,HCI-010,94.2589395,43018_2022_337_MOESM7_ESM.xlsx,6d left
11.0,Navitoclax,,M2,HCI-010,120.24,43018_2022_337_MOESM7_ESM.xlsx,6d left
15.0,Navitoclax,,M2,HCI-010,131.475212,43018_2022_337_MOESM7_ESM.xlsx,6d left
18.0,Navitoclax,,M2,HCI-010,108.0658915,43018_2022_337_MOESM7_ESM.xlsx,6d left
22.0,Navitoclax,,M2,HCI-010,110.372796,43018_2022_337_MOESM7_ESM.xlsx,6d left
1.0,Navitoclax,,M0,HCI-024,285.77,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
4.0,Navitoclax,,M0,HCI-024,221.5541835,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
8.0,Navitoclax,,M0,HCI-024,275.562,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
11.0,Navitoclax,,M0,HCI-024,286.510167,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
15.0,Navitoclax,,M0,HCI-024,282.446193,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
18.0,Navitoclax,,M0,HCI-024,308.213136,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
22.0,Navitoclax,,M0,HCI-024,367.335,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
1.0,Navitoclax,,M1,HCI-024,176.157,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
4.0,Navitoclax,,M1,HCI-024,123.7768,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
8.0,Navitoclax,,M1,HCI-024,135.2819875,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
11.0,Navitoclax,,M1,HCI-024,155.1080245,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
15.0,Navitoclax,,M1,HCI-024,213.9964515,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
18.0,Navitoclax,,M1,HCI-024,184.485,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
22.0,Navitoclax,,M1,HCI-024,213.0164,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
1.0,Navitoclax,,M2,HCI-024,246.402,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
4.0,Navitoclax,,M2,HCI-024,201.51828,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
8.0,Navitoclax,,M2,HCI-024,235.090828,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
11.0,Navitoclax,,M2,HCI-024,235.916674,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
15.0,Navitoclax,,M2,HCI-024,219.399754,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
18.0,Navitoclax,,M2,HCI-024,240.206658,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
22.0,Navitoclax,,M2,HCI-024,308.72989,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
1.0,Navitoclax,,M0,HCI-015,199.1195,43018_2022_337_MOESM7_ESM.xlsx,6d mid
4.0,Navitoclax,,M0,HCI-015,253.008712,43018_2022_337_MOESM7_ESM.xlsx,6d mid
8.0,Navitoclax,,M0,HCI-015,326.974325,43018_2022_337_MOESM7_ESM.xlsx,6d mid
11.0,Navitoclax,,M0,HCI-015,415.7314515,43018_2022_337_MOESM7_ESM.xlsx,6d mid
15.0,Navitoclax,,M0,HCI-015,400.40663,43018_2022_337_MOESM7_ESM.xlsx,6d mid
18.0,Navitoclax,,M0,HCI-015,453.722412,43018_2022_337_MOESM7_ESM.xlsx,6d mid
22.0,Navitoclax,,M0,HCI-015,566.65268,43018_2022_337_MOESM7_ESM.xlsx,6d mid
1.0,Navitoclax,,M1,HCI-015,131.072,43018_2022_337_MOESM7_ESM.xlsx,6d mid
4.0,Navitoclax,,M1,HCI-015,141.207612,43018_2022_337_MOESM7_ESM.xlsx,6d mid
8.0,Navitoclax,,M1,HCI-015,170.22356,43018_2022_337_MOESM7_ESM.xlsx,6d mid
11.0,Navitoclax,,M1,HCI-015,163.13152,43018_2022_337_MOESM7_ESM.xlsx,6d mid
15.0,Navitoclax,,M1,HCI-015,229.976224,43018_2022_337_MOESM7_ESM.xlsx,6d mid
18.0,Navitoclax,,M1,HCI-015,231.7229375,43018_2022_337_MOESM7_ESM.xlsx,6d mid
22.0,Navitoclax,,M1,HCI-015,242.709578,43018_2022_337_MOESM7_ESM.xlsx,6d mid
1.0,Navitoclax,,M2,HCI-015,141.312,43018_2022_337_MOESM7_ESM.xlsx,6d mid
4.0,Navitoclax,,M2,HCI-015,213.9964515,43018_2022_337_MOESM7_ESM.xlsx,6d mid
8.0,Navitoclax,,M2,HCI-015,157.18563,43018_2022_337_MOESM7_ESM.xlsx,6d mid
11.0,Navitoclax,,M2,HCI-015,182.7015,43018_2022_337_MOESM7_ESM.xlsx,6d mid
15.0,Navitoclax,,M2,HCI-015,257.82809,43018_2022_337_MOESM7_ESM.xlsx,6d mid
18.0,Navitoclax,,M2,HCI-015,227.56025,43018_2022_337_MOESM7_ESM.xlsx,6d mid
22.0,Navitoclax,,M2,HCI-015,240.1245,43018_2022_337_MOESM7_ESM.xlsx,6d mid
1.0,Navitoclax,,M0,HCI-027,152.1,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
4.0,Navitoclax,,M0,HCI-027,157.29396,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
8.0,Navitoclax,,M0,HCI-027,284.8168445,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
11.0,Navitoclax,,M0,HCI-027,333.5596,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
15.0,Navitoclax,,M0,HCI-027,348.884382,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
18.0,Navitoclax,,M0,HCI-027,591.9876,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
22.0,Navitoclax,,M0,HCI-027,562.306369,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
1.0,Navitoclax,,M1,HCI-027,157.115,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
4.0,Navitoclax,,M1,HCI-027,106.431975,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
8.0,Navitoclax,,M1,HCI-027,213.7629375,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
11.0,Navitoclax,,M1,HCI-027,207.237042,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
15.0,Navitoclax,,M1,HCI-027,270.323298,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
18.0,Navitoclax,,M1,HCI-027,331.515679,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
22.0,Navitoclax,,M1,HCI-027,862.9832715,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
1.0,Navitoclax,,M2,HCI-027,219.04,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
4.0,Navitoclax,,M2,HCI-027,219.29335,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
8.0,Navitoclax,,M2,HCI-027,343.404325,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
11.0,Navitoclax,,M2,HCI-027,370.29252,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
15.0,Navitoclax,,M2,HCI-027,388.4700285,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
18.0,Navitoclax,,M2,HCI-027,322.5364,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
22.0,Navitoclax,,M2,HCI-027,469.5003,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
1.0,Navitoclax,,M0,HCI-002,267.385952,43018_2022_337_MOESM7_ESM.xlsx,6d right
4.0,Navitoclax,,M0,HCI-002,330.8071095,43018_2022_337_MOESM7_ESM.xlsx,6d right
8.0,Navitoclax,,M0,HCI-002,466.3990375,43018_2022_337_MOESM7_ESM.xlsx,6d right
11.0,Navitoclax,,M0,HCI-002,665.3637315,43018_2022_337_MOESM7_ESM.xlsx,6d right
