MID,Sample,Drug,Day,Volume,excel_sheet
0,HCI-010,Navitoclax,1.0,163.9208,6d left
0,HCI-010,Navitoclax,4.0,158.3743815,6d left
0,HCI-010,Navitoclax,8.0,197.154048,6d left
0,HCI-010,Navitoclax,11.0,158.5821765,6d left
0,HCI-010,Navitoclax,15.0,176.645,6d left
0,HCI-010,Navitoclax,18.0,175.6199535,6d left
0,HCI-010,Navitoclax,22.0,230.687446,6d left
1,HCI-010,Navitoclax,1.0,119.794563,6d left
1,HCI-010,Navitoclax,4.0,75.689856,6d left
1,HCI-010,Navitoclax,8.0,121.091274,6d left
1,HCI-010,Navitoclax,11.0,103.231956,6d left
1,HCI-010,Navitoclax,15.0,99.947844,6d left
1,HCI-010,Navitoclax,18.0,125.015022,6d left
1,HCI-010,Navitoclax,22.0,111.587111,6d left
2,HCI-010,Navitoclax,1.0,132.0270255,6d left
2,HCI-010,Navitoclax,4.0,100.601028,6d left
2,HCI-010,Navitoclax,8.0,94.2589395,6d left
2,HCI-010,Navitoclax,11.0,120.24,6d left
2,HCI-010,Navitoclax,15.0,131.475212,6d left
2,HCI-010,Navitoclax,18.0,108.0658915,6d left
2,HCI-010,Navitoclax,22.0,110.372796,6d left
3,HCI-024,Navitoclax,1.0,285.77,6d mid left
3,HCI-024,Navitoclax,4.0,221.5541835,6d mid left
3,HCI-024,Navitoclax,8.0,275.562,6d mid left
3,HCI-024,Navitoclax,11.0,286.510167,6d mid left
3,HCI-024,Navitoclax,15.0,282.446193,6d mid left
3,HCI-024,Navitoclax,18.0,308.213136,6d mid left
3,HCI-024,Navitoclax,22.0,367.335,6d mid left
4,HCI-024,Navitoclax,1.0,176.157,6d mid left
4,HCI-024,Navitoclax,4.0,123.7768,6d mid left
4,HCI-024,Navitoclax,8.0,135.2819875,6d mid left
4,HCI-024,Navitoclax,11.0,155.1080245,6d mid left
4,HCI-024,Navitoclax,15.0,213.9964515,6d mid left
4,HCI-024,Navitoclax,18.0,184.485,6d mid left
4,HCI-024,Navitoclax,22.0,213.0164,6d mid left
5,HCI-024,Navitoclax,1.0,246.402,6d mid left
5,HCI-024,Navitoclax,4.0,201.51828,6d mid left
5,HCI-024,Navitoclax,8.0,235.090828,6d mid left
5,HCI-024,Navitoclax,11.0,235.916674,6d mid left
5,HCI-024,Navitoclax,15.0,219.399754,6d mid left
5,HCI-024,Navitoclax,18.0,240.206658,6d mid left
5,HCI-024,Navitoclax,22.0,308.72989,6d mid left
6,HCI-015,Navitoclax,1.0,199.1195,6d mid
6,HCI-015,Navitoclax,4.0,253.008712,6d mid
6,HCI-015,Navitoclax,8.0,326.974325,6d mid
6,HCI-015,Navitoclax,11.0,415.7314515,6d mid
6,HCI-015,Navitoclax,15.0,400.40663,6d mid
6,HCI-015,Navitoclax,18.0,453.722412,6d mid
6,HCI-015,Navitoclax,22.0,566.65268,6d mid
7,HCI-015,Navitoclax,1.0,131.072,6d mid
7,HCI-015,Navitoclax,4.0,141.207612,6d mid
7,HCI-015,Navitoclax,8.0,170.22356,6d mid
7,HCI-015,Navitoclax,11.0,163.13152,6d mid
7,HCI-015,Navitoclax,15.0,229.976224,6d mid
7,HCI-015,Navitoclax,18.0,231.7229375,6d mid
7,HCI-015,Navitoclax,22.0,242.709578,6d mid
8,HCI-015,Navitoclax,1.0,141.312,6d mid
8,HCI-015,Navitoclax,4.0,213.9964515,6d mid
8,HCI-015,Navitoclax,8.0,157.18563,6d mid
8,HCI-015,Navitoclax,11.0,182.7015,6d mid
8,HCI-015,Navitoclax,15.0,257.82809,6d mid
8,HCI-015,Navitoclax,18.0,227.56025,6d mid
8,HCI-015,Navitoclax,22.0,240.1245,6d mid
9,HCI-027,Navitoclax,1.0,152.1,6d mid right
9,HCI-027,Navitoclax,4.0,157.29396,6d mid right
9,HCI-027,Navitoclax,8.0,284.8168445,6d mid right
9,HCI-027,Navitoclax,11.0,333.5596,6d mid right
9,HCI-027,Navitoclax,15.0,348.884382,6d mid right
9,HCI-027,Navitoclax,18.0,591.9876,6d mid right
9,HCI-027,Navitoclax,22.0,562.306369,6d mid right
10,HCI-027,Navitoclax,1.0,157.115,6d mid right
10,HCI-027,Navitoclax,4.0,106.431975,6d mid right
10,HCI-027,Navitoclax,8.0,213.7629375,6d mid right
10,HCI-027,Navitoclax,11.0,207.237042,6d mid right
10,HCI-027,Navitoclax,15.0,270.323298,6d mid right
10,HCI-027,Navitoclax,18.0,331.515679,6d mid right
10,HCI-027,Navitoclax,22.0,862.9832715,6d mid right
11,HCI-027,Navitoclax,1.0,219.04,6d mid right
11,HCI-027,Navitoclax,4.0,219.29335,6d mid right
11,HCI-027,Navitoclax,8.0,343.404325,6d mid right
11,HCI-027,Navitoclax,11.0,370.29252,6d mid right
11,HCI-027,Navitoclax,15.0,388.4700285,6d mid right
11,HCI-027,Navitoclax,18.0,322.5364,6d mid right
11,HCI-027,Navitoclax,22.0,469.5003,6d mid right
12,HCI-002,Navitoclax,1.0,267.385952,6d right
12,HCI-002,Navitoclax,4.0,330.8071095,6d right
12,HCI-002,Navitoclax,8.0,466.3990375,6d right
12,HCI-002,Navitoclax,11.0,665.3637315,6d right
12,HCI-002,Navitoclax,15.0,767.000047,6d right
12,HCI-002,Navitoclax,18.0,765.797104,6d right
12,HCI-002,Navitoclax,22.0,928.08,6d right
13,HCI-002,Navitoclax,1.0,180.002988,6d right
13,HCI-002,Navitoclax,4.0,225.416594,6d right
13,HCI-002,Navitoclax,8.0,376.1999425,6d right
13,HCI-002,Navitoclax,11.0,498.9726,6d right
13,HCI-002,Navitoclax,15.0,662.2694245,6d right
13,HCI-002,Navitoclax,18.0,712.331704,6d right
13,HCI-002,Navitoclax,22.0,687.587868,6d right
14,HCI-002,Navitoclax,1.0,107.595104,6d right
14,HCI-002,Navitoclax,4.0,145.8167625,6d right
14,HCI-002,Navitoclax,8.0,144.7936,6d right
14,HCI-002,Navitoclax,11.0,203.8612125,6d right
14,HCI-002,Navitoclax,15.0,223.743762,6d right
14,HCI-002,Navitoclax,18.0,204.249254,6d right
14,HCI-002,Navitoclax,22.0,214.043264,6d right
15,HCI-002,Vehicle,1.0,127.977608,6d right
15,HCI-002,Vehicle,4.0,94.36752,6d right
15,HCI-002,Vehicle,8.0,132.2894275,6d right
15,HCI-002,Vehicle,11.0,178.4521665,6d right
15,HCI-002,Vehicle,15.0,243.9844,6d right
15,HCI-002,Vehicle,18.0,279.79374,6d right
15,HCI-002,Vehicle,22.0,482.2335,6d right
16,HCI-002,Vehicle,1.0,242.0734865,6d right
16,HCI-002,Vehicle,4.0,309.3052845,6d right
16,HCI-002,Vehicle,8.0,414.8497305,6d right
16,HCI-002,Vehicle,11.0,594.560088,6d right
16,HCI-002,Vehicle,15.0,792.4225,6d right
16,HCI-002,Vehicle,18.0,923.000832,6d right
16,HCI-002,Vehicle,22.0,1195.42212,6d right
17,HCI-002,Vehicle,1.0,180.50552,6d right
17,HCI-002,Vehicle,4.0,287.934109,6d right
17,HCI-002,Vehicle,8.0,369.333032,6d right
17,HCI-002,Vehicle,11.0,537.23241,6d right
17,HCI-002,Vehicle,15.0,613.941774,6d right
17,HCI-002,Vehicle,18.0,772.506436,6d right
17,HCI-002,Vehicle,22.0,967.903125,6d right
18,HCI-002,Vehicle,1.0,150.504858,6d right
18,HCI-002,Vehicle,4.0,163.8443625,6d right
18,HCI-002,Vehicle,8.0,335.34375,6d right
18,HCI-002,Vehicle,11.0,440.9164,6d right
18,HCI-002,Vehicle,15.0,526.764738,6d right
18,HCI-002,Vehicle,18.0,670.298813,6d right
18,HCI-002,Vehicle,22.0,1347.521759,6d right
19,HCI-002,Vehicle,1.0,242.764478,6d right
19,HCI-002,Vehicle,4.0,220.21875,6d right
19,HCI-002,Vehicle,8.0,402.711745,6d right
19,HCI-002,Vehicle,11.0,379.3671875,6d right
19,HCI-002,Vehicle,15.0,624.581504,6d right
19,HCI-002,Vehicle,18.0,753.2554,6d right
19,HCI-002,Vehicle,22.0,875.691675,6d right
20,HCI-002,Vehicle,1.0,202.335246,6d right
20,HCI-002,Vehicle,4.0,219.950318,6d right
20,HCI-002,Vehicle,8.0,337.6952685,6d right
20,HCI-002,Vehicle,11.0,394.30672,6d right
20,HCI-002,Vehicle,15.0,584.828332,6d right
20,HCI-002,Vehicle,18.0,614.247449,6d right
20,HCI-002,Vehicle,22.0,863.09145,6d right
