pair,target_only_mean,percent-used
REP_GDSC,0.13749066796163192,5
REP_GDSC,0.4558483499769651,10
REP_GDSC,0.5498287297456129,15
REP_GDSC,0.6163155535080359,20
REP_GDSC,0.6930634264184878,30
REP_GDSC,0.7301407530705869,40
REP_GDSC,0.7521917095473288,50
REP_GDSC,0.7785321580262476,60
REP_GDSC,0.7982112655516868,70
REP_GDSC,0.8133565718486666,80
REP_GDSC,0.8253778808814541,90
REP_CTD2,0.05883517862322711,5
REP_CTD2,0.5285292535988787,10
REP_CTD2,0.6191309951615469,15
REP_CTD2,0.6713662236539766,20
REP_CTD2,0.718951452864101,30
REP_CTD2,0.7467951979338168,40
REP_CTD2,0.7641921139082759,50
REP_CTD2,0.778294244306611,60
REP_CTD2,0.7918217831548419,70
REP_CTD2,0.8044317661139617,80
REP_CTD2,0.8257559120044007,90
GDSC_CTD2,0.05883517862322711,5
GDSC_CTD2,0.5285292535988787,10
GDSC_CTD2,0.6191309951615469,15
GDSC_CTD2,0.6713662236539766,20
GDSC_CTD2,0.718951452864101,30
GDSC_CTD2,0.7467951979338168,40
GDSC_CTD2,0.7641921139082759,50
GDSC_CTD2,0.778294244306611,60
GDSC_CTD2,0.7918217831548419,70
GDSC_CTD2,0.8044317661139617,80
GDSC_CTD2,0.8257559120044007,90
GDSC_REP,0.47195968715114045,5
GDSC_REP,0.6820334428186211,10
GDSC_REP,0.7611461470905807,15
GDSC_REP,0.7966078913529282,20
GDSC_REP,0.8288957258001677,30
GDSC_REP,0.8458885383634339,40
GDSC_REP,0.8534837798239018,50
GDSC_REP,0.859055392412358,60
GDSC_REP,0.8636212388792994,70
GDSC_REP,0.8690476487464679,80
GDSC_REP,0.8754828729457707,90
CTD2_REP,0.47195968715114045,5
CTD2_REP,0.6820334428186211,10
CTD2_REP,0.7611461470905807,15
CTD2_REP,0.7966078913529282,20
CTD2_REP,0.8288957258001677,30
CTD2_REP,0.8458885383634339,40
CTD2_REP,0.8534837798239018,50
CTD2_REP,0.859055392412358,60
CTD2_REP,0.8636212388792994,70
CTD2_REP,0.8690476487464679,80
CTD2_REP,0.8754828729457707,90
CTD2_GDSC,0.13749066796163192,5
CTD2_GDSC,0.4558483499769651,10
CTD2_GDSC,0.5498287297456129,15
CTD2_GDSC,0.6163155535080359,20
CTD2_GDSC,0.6930634264184878,30
CTD2_GDSC,0.7301407530705869,40
CTD2_GDSC,0.7521917095473288,50
CTD2_GDSC,0.7785321580262476,60
CTD2_GDSC,0.7982112655516868,70
CTD2_GDSC,0.8133565718486666,80
CTD2_GDSC,0.8253778808814541,90
