MID,Sample,Drug,log(V_V0+1),log(V_V0+1)_cen
0,HCI-010,Navitoclax,1.2674221734888569,0.23619227092043693
1,HCI-010,Navitoclax,0.9497121725523965,-0.08151773001602347
2,HCI-010,Navitoclax,0.8765553616640068,-0.15467454090441313
3,HCI-024,Navitoclax,1.1924604822460507,0.023184352620221782
4,HCI-024,Navitoclax,1.1435513005412914,-0.025724829084537548
5,HCI-024,Navitoclax,1.1718166060901447,0.0025404764643157662
6,HCI-015,Navitoclax,1.9432807362278126,0.3140555367965112
7,HCI-015,Navitoclax,1.511835941371754,-0.11738925805954747
8,HCI-015,Navitoclax,1.4325589206943377,-0.19666627873696374
9,HCI-027,Navitoclax,2.231724789216095,0.03742917335600637
10,HCI-027,Navitoclax,2.698815312853063,0.5045196969929746
11,HCI-027,Navitoclax,1.6523467455111076,-0.541948870348981
12,HCI-002,Navitoclax,2.1605774655083625,0.1574446182166822
13,HCI-002,Navitoclax,2.2689939926685523,0.265861145376872
14,HCI-002,Navitoclax,1.579827083698126,-0.4233057635935542
15,HCI-002,Vehicle,2.2534170356235266,-1.0737287632052528
16,HCI-002,Vehicle,2.570040567136758,-0.7571052316920213
17,HCI-002,Vehicle,2.6695212343875774,-0.657624564441202
18,HCI-002,Vehicle,3.3151812976907147,-0.011964501138064687
19,HCI-002,Vehicle,2.203879456479785,-1.1232663423489946
20,HCI-002,Vehicle,2.3966117768639057,-0.9305340219648737
149,HCI-002,Vehicle,4.611594647234763,1.2844488484059835
150,HCI-002,Vehicle,4.141327052649948,0.8141812538211686
151,HCI-002,Vehicle,3.7912213900266267,0.46407559119784736
152,HCI-002,Vehicle,3.5620361038716486,0.23489030504286923
153,HCI-002,Vehicle,3.849934710796443,0.5227889119676634
196,HCI-002,Vehicle,4.314526166628706,0.9873803677999269
197,HCI-002,Vehicle,3.2201990085612087,-0.1069467902675707
199,HCI-002,Vehicle,3.6805507356512943,0.35340493682251495
30,HCI-015,Docetaxel,0.588717879959435,-0.03448928440151022
31,HCI-015,Docetaxel,0.5574157459740647,-0.06579141838688052
32,HCI-015,Docetaxel,0.7234878671493362,0.10028070278839096
33,HCI-015,Vehicle,1.9266688515601555,-0.4687246822609956
34,HCI-015,Vehicle,1.7748993970121154,-0.6204941368090358
35,HCI-015,Vehicle,1.9411599816386083,-0.4542335521825429
36,HCI-015,Vehicle,0.8601463827310185,-1.5352471510901327
37,HCI-015,Vehicle,1.8126157107313075,-0.5827778230898437
38,HCI-015,Vehicle,1.567494125342696,-0.8278994084784552
139,HCI-015,Vehicle,3.100800640787492,0.7054071069663408
140,HCI-015,Vehicle,2.9822932340131136,0.5868997001919625
141,HCI-015,Vehicle,2.9235845921735293,0.5281910583523781
142,HCI-015,Vehicle,2.894848244897959,0.4994547110768077
143,HCI-015,Vehicle,3.942371502665207,1.5469779688440557
174,HCI-015,Vehicle,2.823807098133583,0.4284135643124318
175,HCI-015,Vehicle,2.626275023818654,0.2308814899975027
176,HCI-015,Vehicle,2.6537201442814022,0.25832661046025107
177,HCI-015,Vehicle,2.1002180775304287,-0.2951754562907225
39,HCI-019,Docetaxel,0.04616722622608238,-0.41105395094085023
40,HCI-019,Docetaxel,0.5502464040785267,0.09302522691159404
41,HCI-019,Docetaxel,0.7752499011961889,0.31802872402925625
42,HCI-019,Vehicle,1.1449696912291676,-1.1787762301210514
43,HCI-019,Vehicle,1.393448426141541,-0.930297495208678
44,HCI-019,Vehicle,1.3080546531159283,-1.0156912682342907
45,HCI-019,Vehicle,1.5313507815475471,-0.7923951398026718
46,HCI-019,Vehicle,1.7091648468581784,-0.6145810744920406
47,HCI-019,Vehicle,1.668878052734617,-0.654867868615602
154,HCI-019,Vehicle,3.410406050547198,1.086660129196979
155,HCI-019,Vehicle,3.623109886967344,1.299363965617125
156,HCI-019,Vehicle,3.6365943901666724,1.3128484688164535
157,HCI-019,Vehicle,2.335299197770956,0.011553276420737113
158,HCI-019,Vehicle,3.7999291577732586,1.4761832364230396
48,HCI-016,Docetaxel,0.0,-0.05973125787823732
49,HCI-016,Docetaxel,0.17919377363471195,0.11946251575647462
50,HCI-016,Docetaxel,0.0,-0.05973125787823732
51,HCI-016,Vehicle,1.6353472115141618,-0.355635191630729
52,HCI-016,Vehicle,2.2895301652099707,0.2985477620650798
53,HCI-016,Vehicle,2.088907378973991,0.09792497582910031
54,HCI-016,Vehicle,2.033069777132197,0.04208737398730622
55,HCI-016,Vehicle,2.0602748298045617,0.06929242665967084
56,HCI-016,Vehicle,1.8387650562344622,-0.15221734691042865
63,HCI-027,Docetaxel,0.004267675070450211,-0.006188754520111664
64,HCI-027,Docetaxel,0.027101613701235417,0.01664518411067354
65,HCI-027,Docetaxel,0.0,-0.010456429590561875
66,HCI-027,Vehicle,2.945656764460985,0.19868479846511722
67,HCI-027,Vehicle,2.1110724973937516,-0.635899468602116
68,HCI-027,Vehicle,2.5712100543161145,-0.17576191167975308
69,HCI-027,Vehicle,2.2125895504667588,-0.5343824155291088
70,HCI-027,Vehicle,2.0585250203619614,-0.6884469456339062
71,HCI-027,Vehicle,2.221749853282846,-0.5252221127130214
134,HCI-027,Vehicle,4.039178144051017,1.2922061780551495
135,HCI-027,Vehicle,3.4077294397853044,0.6607574737894368
136,HCI-027,Vehicle,4.053802159409155,1.3068301934132878
137,HCI-027,Vehicle,3.005843259743498,0.2588712937476303
138,HCI-027,Vehicle,3.7438569321480677,0.9968849661522001
183,HCI-027,Vehicle,2.484574925733684,-0.26239704026218336
184,HCI-027,Vehicle,2.514856294816246,-0.2321156711796215
185,HCI-027,Vehicle,2.4291010902816526,-0.317870875714215
186,HCI-027,Vehicle,2.0906211872051363,-0.6563507787907312
187,HCI-027,Vehicle,2.0611842824776994,-0.6857876835181682
72,HCI-010,Docetaxel,0.6966110197902743,-0.12143829751564383
73,HCI-010,Docetaxel,0.6617240371529612,-0.15632528015295688
74,HCI-010,Docetaxel,1.095812894974519,0.2777635776686008
75,HCI-010,Vehicle,1.4025516524368766,-0.1166227837901701
76,HCI-010,Vehicle,1.6483637912782196,0.1291893550511729
77,HCI-010,Vehicle,1.5859757199718125,0.0668012837447658
78,HCI-010,Vehicle,1.5502108593188964,0.03103642309184962
79,HCI-010,Vehicle,1.2440057149819865,-0.2751687212450602
80,HCI-010,Vehicle,1.6839388793744876,0.16476444314744088
81,HCI-024,Docetaxel,0.6343423431401605,0.267769059683622
82,HCI-024,Docetaxel,0.13927478860212772,-0.22729849485441073
83,HCI-024,Docetaxel,0.3261027186273271,-0.04047056482921135
84,HCI-024,Vehicle,1.2571491441992653,0.04363025263339537
85,HCI-024,Vehicle,1.3314373740357623,0.11791848246989245
86,HCI-024,Vehicle,1.2209147812890433,0.007395889723173399
87,HCI-024,Vehicle,0.9972016835880423,-0.2163172079778276
88,HCI-024,Vehicle,1.070205867111307,-0.14331302445456284
89,HCI-024,Vehicle,1.4042044991718,0.19068560760593
90,HCI-001,Docetaxel,1.7871581947494781,0.5659795014465636
91,HCI-001,Docetaxel,0.8201789624151877,-0.4009997308877268
92,HCI-001,Docetaxel,1.056198922744078,-0.1649797705588365
93,HCI-001,Vehicle,2.6044063778532296,-1.149467777364003
94,HCI-001,Vehicle,3.2476149246326367,-0.5062592305845959
95,HCI-001,Vehicle,2.50605027116905,-1.2478238840481826
96,HCI-001,Vehicle,3.1380409404225262,-0.6158332147947063
97,HCI-001,Vehicle,2.5144517287418977,-1.2394224264753348
98,HCI-001,Vehicle,2.49210960810969,-1.2617645471075427
144,HCI-001,Vehicle,5.342253031930562,1.5883788767133291
145,HCI-001,Vehicle,5.2780410847819015,1.524166929564669
146,HCI-001,Vehicle,4.840693518106563,1.0868193628893303
147,HCI-001,Vehicle,4.308460097077749,0.5545859418605161
148,HCI-001,Vehicle,5.020494124563754,1.2666199693465217
99,HCI-027,Birinapant,0.0,0.0
100,HCI-027,Birinapant,0.0,0.0
101,HCI-027,Birinapant,0.0,0.0
102,HCI-027,Birinapant,0.0,0.0
103,HCI-027,Birinapant,0.0,0.0
104,HCI-015,Birinapant,0.06382247016360584,-0.4057881091076093
105,HCI-015,Birinapant,0.5674480761444503,0.09783749687323506
106,HCI-015,Birinapant,0.49034688943362603,0.020736310162410843
107,HCI-015,Birinapant,1.1721332001609566,0.7025226208897414
108,HCI-015,Birinapant,0.054302260453437536,-0.41530831881777763
109,HCI-001,Birinapant,5.113505485685279,0.7973942648740859
110,HCI-001,Birinapant,4.576495959133186,0.26038473832199305
111,HCI-001,Birinapant,3.875780063068488,-0.4403311577427047
112,HCI-001,Birinapant,4.513573422617046,0.1974622018058536
113,HCI-001,Birinapant,3.5012011735519675,-0.8149100472592252
114,HCI-002,Birinapant,5.222660754833155,0.5985151506447242
115,HCI-002,Birinapant,4.705026987636744,0.08088138344831286
116,HCI-002,Birinapant,4.661860937486109,0.037715333297677844
117,HCI-002,Birinapant,4.435542568290109,-0.18860303589832217
118,HCI-002,Birinapant,4.095636772696039,-0.5285088314923918
119,HCI-019,Birinapant,4.249973388277115,0.5167458083495844
120,HCI-019,Birinapant,3.774034821334692,0.04080724140716141
121,HCI-019,Birinapant,4.703831921066649,0.9706043411391181
122,HCI-019,Birinapant,3.214331236163435,-0.5188963437640957
123,HCI-019,Birinapant,2.7239665327957625,-1.0092610471317682
