MID,Sample,Drug,Day,Volume
0,HCI-010,Navitoclax,1.0,163.9208
0,HCI-010,Navitoclax,4.0,158.3743815
0,HCI-010,Navitoclax,8.0,197.154048
0,HCI-010,Navitoclax,11.0,158.5821765
0,HCI-010,Navitoclax,15.0,176.645
0,HCI-010,Navitoclax,18.0,175.6199535
0,HCI-010,Navitoclax,22.0,230.687446
1,HCI-010,Navitoclax,1.0,119.794563
1,HCI-010,Navitoclax,4.0,75.689856
1,HCI-010,Navitoclax,8.0,121.091274
1,HCI-010,Navitoclax,11.0,103.231956
1,HCI-010,Navitoclax,15.0,99.947844
1,HCI-010,Navitoclax,18.0,125.015022
1,HCI-010,Navitoclax,22.0,111.587111
2,HCI-010,Navitoclax,1.0,132.0270255
2,HCI-010,Navitoclax,4.0,100.601028
2,HCI-010,Navitoclax,8.0,94.2589395
2,HCI-010,Navitoclax,11.0,120.24
2,HCI-010,Navitoclax,15.0,131.475212
2,HCI-010,Navitoclax,18.0,108.0658915
2,HCI-010,Navitoclax,22.0,110.372796
3,HCI-024,Navitoclax,1.0,285.77
3,HCI-024,Navitoclax,4.0,221.5541835
3,HCI-024,Navitoclax,8.0,275.562
3,HCI-024,Navitoclax,11.0,286.510167
3,HCI-024,Navitoclax,15.0,282.446193
3,HCI-024,Navitoclax,18.0,308.213136
3,HCI-024,Navitoclax,22.0,367.335
4,HCI-024,Navitoclax,1.0,176.157
4,HCI-024,Navitoclax,4.0,123.7768
4,HCI-024,Navitoclax,8.0,135.2819875
4,HCI-024,Navitoclax,11.0,155.1080245
4,HCI-024,Navitoclax,15.0,213.9964515
4,HCI-024,Navitoclax,18.0,184.485
4,HCI-024,Navitoclax,22.0,213.0164
5,HCI-024,Navitoclax,1.0,246.402
5,HCI-024,Navitoclax,4.0,201.51828
5,HCI-024,Navitoclax,8.0,235.090828
5,HCI-024,Navitoclax,11.0,235.916674
5,HCI-024,Navitoclax,15.0,219.399754
5,HCI-024,Navitoclax,18.0,240.206658
5,HCI-024,Navitoclax,22.0,308.72989
6,HCI-015,Navitoclax,1.0,199.1195
6,HCI-015,Navitoclax,4.0,253.008712
6,HCI-015,Navitoclax,8.0,326.974325
6,HCI-015,Navitoclax,11.0,415.7314515
6,HCI-015,Navitoclax,15.0,400.40663
6,HCI-015,Navitoclax,18.0,453.722412
6,HCI-015,Navitoclax,22.0,566.65268
7,HCI-015,Navitoclax,1.0,131.072
7,HCI-015,Navitoclax,4.0,141.207612
7,HCI-015,Navitoclax,8.0,170.22356
7,HCI-015,Navitoclax,11.0,163.13152
7,HCI-015,Navitoclax,15.0,229.976224
