Patient ID,PDO,Drug,IC50(µM),LOG10 IC50(µM),Response category,Emax(% maximum inhibition)
108_T,108_T_XEN_CELL,sorafenib,11.5937,1.0642,Resistant,99.00
108_T,108_T_XEN_CELL,linifanib,10.9098,1.0378,Resistant,77.74
108_T,108_T_XEN_CELL,regorafenib,9.1760,0.9627,Resistant,93.80
108_T,108_T_XEN_CELL,sunitinib,8.2691,0.9175,Resistant,99.30
108_T,108_T_XEN_CELL,5-FU,>60.0000,1.7782,Resistant,44.00
108_T,108_T_XEN_CELL,oxaliplatin,3.8507,0.5855,Minor response,55.20
108_T,108_T_XEN_CELL,nintedanib,3.0562,0.4852,Minor response,98.68
108_T,108_T_XEN_CELL,vandetanib,1.3605,0.1337,Minor response,100.90
108_T,108_T_XEN_CELL,BI 860585,0.8373,-0.0771,Minor response,99.30
108_T,108_T_XEN_CELL,gefitinib,0.7327,-0.1351,Minor response,80.20
108_T,108_T_XEN_CELL,selumetinib,0.0932,-1.0306,Moderate response,83.29
108_T,108_T_XEN_CELL,staurosporine,0.0416,-1.3809,Moderate response,101.14
108_T,108_T_XEN_CELL,AZD8931,0.0327,-1.4855,Strong response,89.90
108_T,108_T_XEN_CELL,afatinib,0.0251,-1.6003,Strong response,100.10
114_T,114_T_XEN_CELL,AZD8931,60.0000,1.7782,Resistant,57.10
114_T,114_T_XEN_CELL,gefitinib,60.0000,1.7782,Resistant,61.70
114_T,114_T_XEN_CELL,linifanib,60.0000,1.7782,Resistant,85.54
114_T,114_T_XEN_CELL,regorafenib,60.0000,1.7782,Resistant,62.60
114_T,114_T_XEN_CELL,sorafenib,60.0000,1.7782,Resistant,71.30
114_T,114_T_XEN_CELL,vandetanib,60.0000,1.7782,Resistant,98.20
114_T,114_T_XEN_CELL,sunitinib,28.5061,1.4549,Resistant,99.70
114_T,114_T_XEN_CELL,nintedanib,18.0403,1.2562,Resistant,78.69
114_T,114_T_XEN_CELL,afatinib,17.7482,1.2492,Resistant,99.80
114_T,114_T_XEN_CELL,BI 860585,10.1336,1.0058,Resistant,96.70
114_T,114_T_XEN_CELL,5-FU,>60.0000,1.7782,Resistant,19.40
114_T,114_T_XEN_CELL,oxaliplatin,>60.0000,1.7782,Resistant,24.30
114_T,114_T_XEN_CELL,selumetinib,2.1690,0.3363,Minor response,95.81
114_T,114_T_XEN_CELL,staurosporine,0.2775,-0.5567,Moderate response,97.21
116_T,116_T_XEN_CELL,sorafenib,20.5653,1.3131,Resistant,86.00
116_T,116_T_XEN_CELL,regorafenib,10.8427,1.0351,Resistant,89.00
116_T,116_T_XEN_CELL,sunitinib,7.2437,0.8600,Resistant,97.80
116_T,116_T_XEN_CELL,linifanib,6.5276,0.8148,Resistant,75.34
116_T,116_T_XEN_CELL,5-FU,>60.0000,1.7782,Resistant,35.60
116_T,116_T_XEN_CELL,oxaliplatin,>60.0000,1.7782,Resistant,38.70
116_T,116_T_XEN_CELL,nintedanib,3.7354,0.5723,Minor response,97.77
116_T,116_T_XEN_CELL,gefitinib,2.3519,0.3714,Minor response,82.30
116_T,116_T_XEN_CELL,vandetanib,1.7420,0.2410,Minor response,100.60
116_T,116_T_XEN_CELL,selumetinib,1.6475,0.2168,Minor response,89.82
116_T,116_T_XEN_CELL,BI 860585,0.3733,-0.4279,Moderate response,97.00
116_T,116_T_XEN_CELL,AZD8931,0.0664,-1.1778,Moderate response,62.60
116_T,116_T_XEN_CELL,staurosporine,0.0281,-1.5513,Strong response,97.77
116_T,116_T_XEN_CELL,afatinib,0.0142,-1.8477,Strong response,55.80
151_METa,151_MET_CELL1,AZD8931,60.0000,1.7782,Resistant,63.70
151_METa,151_MET_CELL1,sorafenib,19.6655,1.2937,Resistant,95.00
151_METa,151_MET_CELL1,afatinib,10.9755,1.0404,Resistant,98.80
151_METa,151_MET_CELL1,vandetanib,9.4509,0.9755,Resistant,99.00
151_METa,151_MET_CELL1,regorafenib,7.9872,0.9024,Resistant,96.30
151_METa,151_MET_CELL1,5-FU,>60.0000,1.7782,Resistant,43.50
151_METa,151_MET_CELL1,gefitinib,>60.0000,1.7782,Resistant,33.60
151_METa,151_MET_CELL1,oxaliplatin,>60.0000,1.7782,Resistant,24.00
151_METa,151_MET_CELL1,nintedanib,4.7090,0.6729,Minor response,98.70
