MID,Sample,Drug,Volume,V_V0,log(V_V0)
0,HCI-010,Navitoclax,230.687446,1.4073103962401354,0.4929405643445782
1,HCI-010,Navitoclax,111.587111,0.931487274593589,-0.10239203479841583
2,HCI-010,Navitoclax,110.372796,0.8359863867417053,-0.2584486453325667
3,HCI-024,Navitoclax,367.335,1.2854218427406656,0.36224189292664044
4,HCI-024,Navitoclax,213.0164,1.2092417559336273,0.2741027021714411
5,HCI-024,Navitoclax,308.72989,1.252952045843784,0.32533119953825024
6,HCI-015,Navitoclax,566.65268,2.8457919992768166,1.508830218231877
7,HCI-015,Navitoclax,242.709578,1.8517271270751952,0.888871516837877
8,HCI-015,Navitoclax,240.1245,1.6992505944293477,0.7648986274962583
9,HCI-027,Navitoclax,562.306369,3.696951801446417,1.886336234688934
10,HCI-027,Navitoclax,862.9832715,5.492685431053687,2.4575116703282665
11,HCI-027,Navitoclax,469.5003,2.143445489408327,1.0999317280201713
12,HCI-002,Navitoclax,928.08,3.470937770133863,1.79532549955893
13,HCI-002,Navitoclax,687.587868,3.819869190171443,1.9335232346164644
14,HCI-002,Navitoclax,214.043264,1.989340184103544,0.9922900031470571
15,HCI-002,Vehicle,482.2335,3.768108402213612,1.9138404694853082
16,HCI-002,Vehicle,1195.42212,4.938261258115931,2.304003164106804
17,HCI-002,Vehicle,967.903125,5.362180198145741,2.4228197024616485
18,HCI-002,Vehicle,1347.521759,8.953343944552273,3.162426608768926
19,HCI-002,Vehicle,875.691675,3.607165604351721,1.8508656585268095
20,HCI-002,Vehicle,863.09145,4.265650533273871,2.092765776610365
30,HCI-015,Docetaxel,100.5723,0.503909632034632,-0.9887630617672591
31,HCI-015,Docetaxel,49.800672,0.4716307692307692,-1.0842702519543614
32,HCI-015,Docetaxel,70.09705,0.6511690881391201,-0.6188958803060897
33,HCI-015,Vehicle,389.207,2.8017636684303353,1.4863352681302306
34,HCI-015,Vehicle,433.2,2.4221414593234556,1.276283124613102
35,HCI-015,Vehicle,343.901538,2.8401428571428573,1.505963498077896
36,HCI-015,Vehicle,106.1705,0.8152224824355971,-0.2947342557841703
37,HCI-015,Vehicle,313.227576,2.5127860509331867,1.3292878393849994
38,HCI-015,Vehicle,573.3874935,1.9638945608113316,0.973717475132232
39,HCI-019,Docetaxel,4.0,0.03251821019771072,-4.942608336111663
40,HCI-019,Docetaxel,94.08,0.4643357747813555,-1.1067596571631226
41,HCI-019,Docetaxel,128.9925,0.7114864864864865,-0.49109173949059526
42,HCI-019,Vehicle,205.8,1.2114148477784843,0.27669299908953815
43,HCI-019,Vehicle,334.1165,1.6270586803019234,0.7022662831271966
44,HCI-019,Vehicle,125.0235,1.4760743801652891,0.5617654213928259
45,HCI-019,Vehicle,333.036,1.8905635313952893,0.9188163311494659
46,HCI-019,Vehicle,168.776,2.2697149004841313,1.1825110915738521
47,HCI-019,Vehicle,194.5085,2.1796722230004204,1.1241112002288913
48,HCI-016,Docetaxel,1.0,0.004623165758985122,-7.7569031947729155
49,HCI-016,Docetaxel,41.454,0.13225096865683308,-2.9186498056573877
50,HCI-016,Docetaxel,1.0,0.015384615384615385,-6.022367813028454
51,HCI-016,Vehicle,136.9305,2.1066230769230767,1.0749322060874602
52,HCI-016,Vehicle,433.2,3.8889686871588625,1.9593876186593693
53,HCI-016,Vehicle,853.0125,3.254257559457047,1.7023284381790385
54,HCI-016,Vehicle,915.008,3.0927478232653725,1.628889203632019
55,HCI-016,Vehicle,1117.1875,3.1706574675324677,1.6647820286292727
56,HCI-016,Vehicle,173.95,2.577037037037037,1.3657132716816969
63,HCI-027,Docetaxel,1.0,0.005925013035028677,-7.398965956718609
64,HCI-027,Docetaxel,4.0,0.018962962962962963,-5.720671786825555
65,HCI-027,Docetaxel,1.0,0.0071806066176470585,-7.121678556588252
66,HCI-027,Vehicle,864.799515,6.704261991976278,2.74507852838385
67,HCI-027,Vehicle,561.152304,3.3201233259671445,1.7312368314688025
68,HCI-027,Vehicle,814.4955,4.943076923076923,2.305409357555595
69,HCI-027,Vehicle,808.3512,3.6350649350649347,1.861981135990651
70,HCI-027,Vehicle,336.093552,3.165602045766008,1.6624799027632569
71,HCI-027,Vehicle,938.1346875,3.664588623046875,1.8736512543479413
72,HCI-010,Docetaxel,91.617575,0.6206932086859135,-0.6880477341281915
73,HCI-010,Docetaxel,88.266655,0.5819719692900208,-0.7809784275616307
74,HCI-010,Docetaxel,177.1919145,1.137334770676852,0.18565696918861324
75,HCI-010,Vehicle,261.789003,1.6436875016000805,0.7169360394417084
76,HCI-010,Vehicle,475.215494,2.1347791168627674,1.0940868035730786
77,HCI-010,Vehicle,353.835756,2.0021076702330234,1.0015195621530841
78,HCI-010,Vehicle,295.61175,1.9285993945743427,0.9475535003168524
79,HCI-010,Vehicle,135.359991,1.3685526062921394,0.45265089204893855
80,HCI-010,Vehicle,517.0,2.21303986181762,1.1460294375504338
81,HCI-024,Docetaxel,107.353512,0.55223,-0.8566588301493825
82,HCI-024,Docetaxel,13.5,0.10135135135135136,-3.302562770020431
83,HCI-024,Docetaxel,63.3142645,0.25362227407466753,-1.979246640869324
84,HCI-024,Vehicle,337.949498,1.3902294961927524,0.4753230597038975
85,HCI-024,Vehicle,226.7277125,1.5165327516320635,0.6007766553026271
86,HCI-024,Vehicle,231.5178315,1.3309447053751078,0.4124506351579917
87,HCI-024,Vehicle,291.6478125,0.9961244695294287,-0.00560207111478244
