MID,Sample,Drug,log(V_V0)
21,HCI-023,Docetaxel,5.306244561483049
22,HCI-023,Docetaxel,5.306244561483049
23,HCI-023,Docetaxel,5.306244561483049
24,HCI-023,Vehicle,5.306244561483049
25,HCI-023,Vehicle,5.306244561483049
26,HCI-023,Vehicle,5.306244561483049
27,HCI-023,Vehicle,5.306244561483049
28,HCI-023,Vehicle,5.306244561483049
29,HCI-023,Vehicle,5.306244561483049
57,HCI-002,Docetaxel,5.306244561483049
58,HCI-002,Docetaxel,5.306244561483049
59,HCI-002,Docetaxel,5.306244561483049
60,HCI-002,Vehicle,5.306244561483049
61,HCI-002,Vehicle,5.306244561483049
62,HCI-002,Vehicle,5.306244561483049
195,HCI-002,RO4929097,5.306244561483049
198,HCI-002,Vehicle,5.306244561483049
200,HCI-002,Vehicle,5.306244561483049
233,HCI-003,Fulvestrant (40 mg/kg),5.306244561483049
235,HCI-003,Fulvestrant (200 mg/kg),5.306244561483049
236,HCI-003,Fulvestrant (200 mg/kg),5.306244561483049
237,HCI-003,Fulvestrant (200 mg/kg),5.306244561483049
240,HCI-003,Vehicle,5.306244561483049
0,HCI-010,Navitoclax,0.4929405643445782
1,HCI-010,Navitoclax,-0.10239203479841583
2,HCI-010,Navitoclax,-0.2584486453325667
3,HCI-024,Navitoclax,0.36224189292664044
4,HCI-024,Navitoclax,0.2741027021714411
5,HCI-024,Navitoclax,0.32533119953825024
6,HCI-015,Navitoclax,1.508830218231877
7,HCI-015,Navitoclax,0.888871516837877
8,HCI-015,Navitoclax,0.7648986274962583
9,HCI-027,Navitoclax,1.886336234688934
10,HCI-027,Navitoclax,2.4575116703282665
11,HCI-027,Navitoclax,1.0999317280201713
12,HCI-002,Navitoclax,1.79532549955893
13,HCI-002,Navitoclax,1.9335232346164644
14,HCI-002,Navitoclax,0.9922900031470571
15,HCI-002,Vehicle,1.9138404694853082
16,HCI-002,Vehicle,2.304003164106804
17,HCI-002,Vehicle,2.4228197024616485
18,HCI-002,Vehicle,3.162426608768926
19,HCI-002,Vehicle,1.8508656585268095
20,HCI-002,Vehicle,2.092765776610365
30,HCI-015,Docetaxel,-0.9887630617672591
31,HCI-015,Docetaxel,-1.0842702519543614
32,HCI-015,Docetaxel,-0.6188958803060897
33,HCI-015,Vehicle,1.4863352681302306
34,HCI-015,Vehicle,1.276283124613102
35,HCI-015,Vehicle,1.505963498077896
36,HCI-015,Vehicle,-0.2947342557841703
37,HCI-015,Vehicle,1.3292878393849994
38,HCI-015,Vehicle,0.973717475132232
39,HCI-019,Docetaxel,-4.942608336111663
40,HCI-019,Docetaxel,-1.1067596571631226
41,HCI-019,Docetaxel,-0.49109173949059526
42,HCI-019,Vehicle,0.27669299908953815
43,HCI-019,Vehicle,0.7022662831271966
44,HCI-019,Vehicle,0.5617654213928259
45,HCI-019,Vehicle,0.9188163311494659
46,HCI-019,Vehicle,1.1825110915738521
47,HCI-019,Vehicle,1.1241112002288913
48,HCI-016,Docetaxel,-7.7569031947729155
49,HCI-016,Docetaxel,-2.9186498056573877
50,HCI-016,Docetaxel,-6.022367813028454
51,HCI-016,Vehicle,1.0749322060874602
52,HCI-016,Vehicle,1.9593876186593693
53,HCI-016,Vehicle,1.7023284381790385
54,HCI-016,Vehicle,1.628889203632019
55,HCI-016,Vehicle,1.6647820286292727
56,HCI-016,Vehicle,1.3657132716816969
63,HCI-027,Docetaxel,-7.398965956718609
64,HCI-027,Docetaxel,-5.720671786825555
65,HCI-027,Docetaxel,-7.121678556588252
66,HCI-027,Vehicle,2.74507852838385
67,HCI-027,Vehicle,1.7312368314688025
68,HCI-027,Vehicle,2.305409357555595
69,HCI-027,Vehicle,1.861981135990651
70,HCI-027,Vehicle,1.6624799027632569
71,HCI-027,Vehicle,1.8736512543479413
72,HCI-010,Docetaxel,-0.6880477341281915
73,HCI-010,Docetaxel,-0.7809784275616307
74,HCI-010,Docetaxel,0.18565696918861324
75,HCI-010,Vehicle,0.7169360394417084
76,HCI-010,Vehicle,1.0940868035730786
77,HCI-010,Vehicle,1.0015195621530841
78,HCI-010,Vehicle,0.9475535003168524
79,HCI-010,Vehicle,0.45265089204893855
80,HCI-010,Vehicle,1.1460294375504338
81,HCI-024,Docetaxel,-0.8566588301493825
82,HCI-024,Docetaxel,-3.302562770020431
83,HCI-024,Docetaxel,-1.979246640869324
84,HCI-024,Vehicle,0.4753230597038975
85,HCI-024,Vehicle,0.6007766553026271
86,HCI-024,Vehicle,0.4124506351579917
87,HCI-024,Vehicle,-0.00560207111478244
88,HCI-024,Vehicle,0.13715326019515922
89,HCI-024,Vehicle,0.7195935328573904
90,HCI-001,Docetaxel,1.2935728387577883
91,HCI-001,Docetaxel,-0.3852901558847916
92,HCI-001,Docetaxel,0.11029049900606495
93,HCI-001,Vehicle,2.3452294975644414
94,HCI-001,Vehicle,3.087113472832016
95,HCI-001,Vehicle,2.22670191628197
96,HCI-001,Vehicle,2.9640804257450575
97,HCI-001,Vehicle,2.236891991031563
98,HCI-001,Vehicle,2.2097653334193077
99,HCI-027,Birinapant,-6.551131452774108
100,HCI-027,Birinapant,-6.317738200981938
101,HCI-027,Birinapant,-6.372699673826153
102,HCI-027,Birinapant,-6.079506117421997
103,HCI-027,Birinapant,-6.964976149140118
104,HCI-015,Birinapant,-4.466529240531243
105,HCI-015,Birinapant,-1.0531943564536206
106,HCI-015,Birinapant,-1.3047807882729439
107,HCI-015,Birinapant,0.3259004222881433
108,HCI-015,Birinapant,-4.7043740159799325
109,HCI-001,Birinapant,5.071218642776903
110,HCI-001,Birinapant,4.514726174462794
111,HCI-001,Birinapant,3.773996325111173
112,HCI-001,Birinapant,4.448987413638868
113,HCI-001,Birinapant,3.3678088547425302
114,HCI-002,Birinapant,5.183497542172403
115,HCI-002,Birinapant,4.648626647009927
116,HCI-002,Birinapant,4.603712591887481
117,HCI-002,Birinapant,4.367280871841436
118,HCI-002,Birinapant,4.0086832677408015
119,HCI-019,Birinapant,4.172084450966268
120,HCI-019,Birinapant,3.664524372524275
121,HCI-019,Birinapant,4.647383915055324
122,HCI-019,Birinapant,3.0498621277935363
123,HCI-019,Birinapant,2.487195119261931
124,HCI-012,Birinapant,2.7503035039850006
125,HCI-012,Birinapant,2.1336837401582622
126,HCI-012,Birinapant,0.8374753154992645
127,HCI-012,Birinapant,0.46302405743334063
128,HCI-012,Birinapant,0.5606860846952816
129,HCI-023,Birinapant,-2.8187596853298533
130,HCI-023,Birinapant,-2.116339711546885
131,HCI-023,Birinapant,-7.112533337553976
132,HCI-023,Birinapant,-7.417852514885898
133,HCI-023,Birinapant,-2.2571578394971246
134,HCI-027,Vehicle,3.948643172090846
135,HCI-027,Vehicle,3.2649523115648815
136,HCI-027,Vehicle,3.964209219166874
137,HCI-027,Vehicle,2.8140310045741184
138,HCI-027,Vehicle,3.631939519974403
139,HCI-015,Vehicle,2.921997487998727
140,HCI-015,Vehicle,2.787100783731538
141,HCI-015,Vehicle,2.71968496243793
142,HCI-015,Vehicle,2.686535743719717
143,HCI-015,Vehicle,3.845337099730885
144,HCI-001,Vehicle,5.306244561483049
145,HCI-001,Vehicle,5.240372157195557
146,HCI-001,Vehicle,4.789446187439494
147,HCI-001,Vehicle,4.233747178865549
148,HCI-001,Vehicle,4.975346712991162
149,HCI-002,Vehicle,4.551340943901582
150,HCI-002,Vehicle,4.0571648751368175
151,HCI-002,Vehicle,3.683057639912856
152,HCI-002,Vehicle,3.4344028241457747
153,HCI-002,Vehicle,3.746243407754217
154,HCI-019,Vehicle,3.2679070805888166
155,HCI-019,Vehicle,3.500997448105185
156,HCI-019,Vehicle,3.515666964783884
157,HCI-019,Vehicle,2.01669460461326
158,HCI-019,Vehicle,3.692441154940906
159,HCI-012,Vehicle,3.1945140394207003
160,HCI-012,Vehicle,3.2595735318252936
161,HCI-012,Vehicle,3.5095888778442315
162,HCI-012,Vehicle,4.0895660795749835
163,HCI-012,Vehicle,4.247374317671903
164,HCI-023,Vehicle,1.4221649568073111
165,HCI-023,Vehicle,1.6118151803289056
166,HCI-023,Vehicle,1.0729837121327863
167,HCI-023,Vehicle,2.366440823973167
168,HCI-023,Vehicle,2.3762458183051796
169,HCI-015,RO4929097,0.40778550814597864
170,HCI-015,RO4929097,-0.18586654531132776
171,HCI-015,RO4929097,0.6654623401035245
172,HCI-015,RO4929097,0.5394572782186811
173,HCI-015,RO4929097,0.41310958648227103
174,HCI-015,Vehicle,2.6041385576257423
175,HCI-015,Vehicle,2.3713630349473593
176,HCI-015,Vehicle,2.404052603323258
177,HCI-015,Vehicle,1.7170970620946968
178,HCI-027,RO4929097,0.06248943384168593
179,HCI-027,RO4929097,1.2639715250878456
180,HCI-027,RO4929097,1.1490914980251423
181,HCI-027,RO4929097,2.3229502189206457
182,HCI-027,RO4929097,1.4403389376417026
183,HCI-027,Vehicle,2.2005966971847295
184,HCI-027,Vehicle,2.2373823683240834
185,HCI-027,Vehicle,2.132766875598592
186,HCI-027,Vehicle,1.7045684734572186
187,HCI-027,Vehicle,1.6659781965188152
188,HCI-010,RO4929097,0.7773606081198284
189,HCI-010,RO4929097,0.5185016535214128
190,HCI-010,RO4929097,1.226886896648412
191,HCI-002,RO4929097,2.920331008284113
192,HCI-002,RO4929097,2.457501591538898
193,HCI-002,RO4929097,3.010559892762336
194,HCI-002,RO4929097,2.946763747603685
196,HCI-002,Vehicle,4.240134956040598
197,HCI-002,Vehicle,3.0564368425076918
199,HCI-002,Vehicle,3.5634036597637957
201,HCI-002,Irinotecan,1.4901647461769048
202,HCI-002,Irinotecan,-0.09709868810508139
203,HCI-002,Irinotecan,0.8309417423752199
204,HCI-002,Irinotecan,3.5994620704162714
205,HCI-002,Irinotecan,1.074915706777911
206,HCI-002,Birinapant + Irinotecan,-0.1976806678396943
207,HCI-002,Birinapant + Irinotecan,1.3949573046514645
208,HCI-002,Birinapant + Irinotecan,0.8000624294912481
209,HCI-002,Birinapant + Irinotecan,0.8178855895497735
210,HCI-002,Birinapant + Irinotecan,1.107155954028191
211,HCI-012,Irinotecan,1.3774186181186345
212,HCI-012,Irinotecan,1.3795901693772725
213,HCI-012,Irinotecan,1.5974301052340423
214,HCI-012,Irinotecan,1.7092838658630438
215,HCI-012,Irinotecan,1.2851283448824489
216,HCI-012,Birinapant + Irinotecan,-6.802193216941825
217,HCI-012,Birinapant + Irinotecan,-6.677275667167312
218,HCI-012,Birinapant + Irinotecan,-6.5775194657146505
219,HCI-012,Birinapant + Irinotecan,0.04616722622608238
220,HCI-012,Birinapant + Irinotecan,-6.503825737995751
221,HCI-023,Irinotecan,-4.448460500816294
222,HCI-023,Irinotecan,-6.896804646498539
223,HCI-023,Irinotecan,-2.6693912818818624
224,HCI-023,Irinotecan,-7.103282562238698
225,HCI-023,Irinotecan,-1.6732737366098165
226,HCI-023,Birinapant + Irinotecan,-7.169925001442312
227,HCI-023,Birinapant + Irinotecan,-7.63749070252438
228,HCI-023,Birinapant + Irinotecan,-6.807354922057605
229,HCI-023,Birinapant + Irinotecan,-6.954196310386875
230,HCI-023,Birinapant + Irinotecan,-6.894817763307944
231,HCI-003,Fulvestrant (40 mg/kg),2.4574822938698633
232,HCI-003,Fulvestrant (40 mg/kg),0.7475620283933708
234,HCI-003,Fulvestrant (200 mg/kg),-1.0164928747406932
238,HCI-003,Vehicle,1.4046341389512522
239,HCI-003,Vehicle,2.7341922642853502
241,HCI-011,Fulvestrant (40 mg/kg),1.3917219500606095
242,HCI-011,Fulvestrant (40 mg/kg),1.7113518743750598
243,HCI-011,Fulvestrant (40 mg/kg),2.8897327988697104
244,HCI-011,Fulvestrant (40 mg/kg),2.386247897383507
245,HCI-011,Fulvestrant (40 mg/kg),1.2486550657350555
246,HCI-011,Fulvestrant (200 mg/kg),0.897508179395827
247,HCI-011,Fulvestrant (200 mg/kg),0.13763013846573613
248,HCI-011,Fulvestrant (200 mg/kg),0.14014491966781578
249,HCI-011,Fulvestrant (200 mg/kg),-0.7027148920474028
250,HCI-011,Fulvestrant (200 mg/kg),0.19904625281894958
251,HCI-011,Vehicle,4.936356299679536
252,HCI-011,Vehicle,3.8358390889585396
253,HCI-011,Vehicle,4.004177558266989
254,HCI-011,Vehicle,4.243508004896059
255,HCI-017,Fulvestrant (40 mg/kg),-0.5888074080178126
256,HCI-017,Fulvestrant (40 mg/kg),1.0946114295567133
257,HCI-017,Fulvestrant (200 mg/kg),-5.985500430304885
258,HCI-017,Fulvestrant (200 mg/kg),-6.341985747228616
259,HCI-017,Fulvestrant (200 mg/kg),-6.317738200981938
260,HCI-017,Fulvestrant (200 mg/kg),-2.570462931026041
261,HCI-017,Vehicle,2.5290117526698515
262,HCI-017,Vehicle,1.6514012913553284
263,HCI-017,Vehicle,1.9772306490247076
