source,target,seed,transfer,raw_published,raw_overlap
REP,GDSC,0,0.7238077730286694,0.49693489113585537,0.5924671212233846
REP,GDSC,1,0.709801147112093,0.5141592746252286,0.5747441188442999
REP,GDSC,2,0.7611305951248846,0.5205036171940657,0.5732946238683528
REP,GDSC,3,0.6918118437669688,0.4918111681477396,0.5645820113190247
REP,GDSC,4,0.7583046565154045,0.5268255185153171,0.6231333958967735
REP,GDSC,5,0.7990848844535628,0.5091095051437846,0.5889803712062606
REP,GDSC,6,0.7794940870789983,0.5347722519870048,0.628689104297751
REP,GDSC,7,0.717278863542103,0.4979149590907331,0.6243810626782008
REP,GDSC,8,0.7456975802801286,0.5297831956164313,0.6007634536767413
REP,GDSC,9,0.741583680770197,0.5050765550183842,0.5942296592970029
REP,CTD2,0,0.7148348254863047,0.4948723214895741,0.6272837886272432
REP,CTD2,1,0.703199656864073,0.5105396782153475,0.5991087440638302
REP,CTD2,2,0.7233989717152798,0.5204977127142054,0.5973678405383345
REP,CTD2,3,0.7010769381734248,0.532079899212414,0.6286018755298262
REP,CTD2,4,0.6843518031657325,0.5171060866372472,0.6187851234666097
REP,CTD2,5,0.6959462841161974,0.47144847488164565,0.5880205680024482
REP,CTD2,6,0.7238846860443383,0.5122880306460325,0.5985014099945842
REP,CTD2,7,0.6763418460606384,0.4476841555069003,0.5793750493302209
REP,CTD2,8,0.7278725938416699,0.5323881130097554,0.6129048415328107
REP,CTD2,9,0.7231786999014974,0.4932647849795527,0.5961975339668493
GDSC,CTD2,0,0.6559877229741199,0.49336273076984893,0.623045435172941
GDSC,CTD2,1,0.6840117818374316,0.4753947665353669,0.5884637006780952
GDSC,CTD2,2,0.6782472752724098,0.4773398696698421,0.5975217016715508
GDSC,CTD2,3,0.6413409303217261,0.4710146135304416,0.5670448216500164
GDSC,CTD2,4,0.6609323317337722,0.5103380732781494,0.6287014673550398
GDSC,CTD2,5,0.7075157731842496,0.527059219652725,0.6528279496009199
GDSC,CTD2,6,0.7082950181984592,0.5078167086895717,0.6482175989254768
GDSC,CTD2,7,0.647400036328118,0.46766526511687956,0.6116132737481328
GDSC,CTD2,8,0.7139026890774571,0.5118161735412285,0.6739124200419834
GDSC,CTD2,9,0.6400282349904904,0.4847527096451679,0.628917915650027
GDSC,REP,0,0.8156226540287916,0.49693489113585526,0.5924671212233846
GDSC,REP,1,0.8482916172277599,0.5141592746252287,0.5747441188443
GDSC,REP,2,0.8366458687872461,0.5205036171940657,0.5732946238683528
GDSC,REP,3,0.8263104785789767,0.49181116814773934,0.5645820113190247
GDSC,REP,4,0.8633310255527279,0.5268255185153172,0.6231333958967735
GDSC,REP,5,0.8395815096160956,0.5091095051437845,0.5889803712062605
GDSC,REP,6,0.8566383402624488,0.5347722519870046,0.6286891042977509
GDSC,REP,7,0.8270041615272632,0.4979149590907332,0.6243810626782008
GDSC,REP,8,0.8277067604425354,0.5297831956164314,0.6007634536767412
GDSC,REP,9,0.8584359445335469,0.5050765550183843,0.5942296592970029
CTD2,REP,0,0.8348911916590813,0.4948723214895738,0.6272837886272432
CTD2,REP,1,0.8667641599243445,0.5105396782153475,0.5991087440638301
CTD2,REP,2,0.8424487261681076,0.5204977127142053,0.5973678405383344
CTD2,REP,3,0.8393851703800336,0.5320798992124137,0.6286018755298264
CTD2,REP,4,0.8500746410604321,0.5171060866372472,0.6187851234666097
CTD2,REP,5,0.8454133090329871,0.4714484748816457,0.588020568002448
CTD2,REP,6,0.8415104340562555,0.5122880306460325,0.5985014099945848
CTD2,REP,7,0.845036033752867,0.4476841555069004,0.579375049330221
CTD2,REP,8,0.8490762324357254,0.5323881130097553,0.6129048415328108
CTD2,REP,9,0.870178668805656,0.4932647849795527,0.5961975339668493
CTD2,GDSC,0,0.7455018231283382,0.49336273076984893,0.6230454351729409
CTD2,GDSC,1,0.7154539230754136,0.4753947665353669,0.5884637006780953
CTD2,GDSC,2,0.7337813958071217,0.4773398696698421,0.5975217016715508
CTD2,GDSC,3,0.6764711222716677,0.4710146135304416,0.5670448216500164
CTD2,GDSC,4,0.7343042558320354,0.5103380732781494,0.6287014673550398
CTD2,GDSC,5,0.7508619143176467,0.527059219652725,0.6528279496009199
CTD2,GDSC,6,0.7829144976075436,0.5078167086895717,0.6482175989254768
CTD2,GDSC,7,0.7825562139371998,0.46766526511687956,0.6116132737481328
CTD2,GDSC,8,0.7587861531746691,0.5118161735412284,0.6739124200419834
CTD2,GDSC,9,0.7447824471461757,0.4847527096451679,0.628917915650027
